Identificacao;Data_remocao;Situacao;Descricao;Cidade;Distrito;Regiao;Fonte;Mapeamento_anterior;Justificativa;Observacao;Tipologia;Propriedade;Proprietario;Familias_ameacadas;Familias_removidas;Movimento;Zoneamento;Inicio_ocupacao;Endereco;Latitude;Longitude;Links;;;;;;;;;;;;;
VILA CAMILOPOLIS;05/10/2017;REMOCAO TOTAL;A Prefeitura de Santo Andre, por meio da Secretaria de Habitacao e Regularizacao Fundiaria, realizou ontem a reintegracao de posse de terreno particular na Rua Alemanha, na Vila Camilopolis, que ha nove meses estava ocupado por 18 familias da Zona Leste da capital paulista;SANTO ANDRE;;ABC;Clipping;SIM;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PRIVADA;;;18;;;;Rua Alemanha - Parque das Nacoes, Santo Andre - State of Sao Paulo, Brazil;-23.6356969;-46.52840179999990;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;""> <a href=""http://www.dgabc.com.br/Noticia/2776625/santo-andre-remove-18-familias-que-ocupavam-terreno-particular"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
SITIO DOS FRANCOS ;20/09/2017;REMOCAO TOTAL;Caso de remocao mapeado (sem atuacao) pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo;SAO PAULO;BRASILANDIA;NORTE 2;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;AREA DE PROTECAO AMBIENTAL;;;PRIVADA;;;30;;ZEIS-2 e ZPDS;2016;Rua Rendeira, Freguesia do O/Brasilandia , Sao Paulo, SP, Brasil;-23.4522882;-46.6850649;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=0K000460J0000&processo.foro=20&uuidCaptcha=sajcaptcha_4a634ffdc5294b8fae5b4f9f0cb9fb57"" target=_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a> ";;;;;;;;;;;;;
TOMOICHI SHIMIZU;05/09/2017;REMOCAO TOTAL;A Policia Militar cumpriu na manha desta terca-feira (5), uma reintegracao de posse em um terreno localizado na Rua Tomoichi Shimizu, no Jardim Cibele, Zona Leste de Sao Paulo.;SAO PAULO;JOSE BONIFACIO;LESTE 2;Clipping;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PRIVADA;;;400;;;;Rua Tomoichi Shimizu;-23.5773808;-46.44005579999990;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;""> <a href=""http://Leste.online/05/09/2017/pm-cumpre-reintegracao-de-posse-no-jd-cibele/"" target=""_blank"" style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
RUA ATILIO BARTALINI;31/08/2017;REMOCAO TOTAL;Caso de remocao acompanhado pelo Nucleo de mediacao de conflitos da Secretaria Municipal de Habitacao - Sao Paulo;SAO PAULO;IPIRANGA;SUL 1;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;;PRIVADA;ELETROPAULO;;46;;ZEIS 1;2000;Rua Atilio Bartalini, 355, Ipiranga, Sao Paulo, SP, Brasil;-23.6079935;-46.5803425;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=0A00128SY0000&processo.foro=10&uuidCaptcha=sajcaptcha_4a634ffdc5294b8fae5b4f9f0cb9fb57"" target=_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a> ";;;;;;;;;;;;;
PREDIO IPIRANGA 908, 916 E 924;31/07/2017;REMOCAO TOTAL;Caso de remocao acompanhado pelo Nucleo de mediacao de conflitos da Secretaria Municipal de Habitacao - Sao Paulo;SAO PAULO;REPUBLICA;CENTRO;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PUBLICA;COHAB;;81;FLM;ZEIS-5;2016;Avenida Ipiranga, 98, Se, Sao Paulo, SP, Brasil;-23.5420427;-46.63964110000001;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=1H00065OH0000&processo.foro=53&uuidCaptcha=sajcaptcha_4a634ffdc5294b8fae5b4f9f0cb9fb57"" target=_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a> ";;;;;;;;;;;;;
XAVIER DE TOLEDO;30/07/2017;REMOCAO TOTAL;As 40 familias removidas do edificio foram encaminhadas para outras ocupacoes da FLM no Centro. O edificio ja foi ocupado e reintegrado diversas vezes, e a COHAB ja propos a desapropriacao do imovel, mas desistiu do processo em 2016. ;SAO PAULO;REPUBLICA;CENTRO;Clipping;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;;40;FLM;;;Rua Coronel Xavier de Toledo, 15 Centro, Sao Paulo;-23.547194;-46.639754;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://www.facebook.com/jornalistaslivres/posts/574408476016367"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
JARDIM CALUX;25/07/2017;REMOCAO TOTAL;Remocao sem axilio do conselho tutelar. Parte das familias estao em situacao de auxilio aluguel. Justificativa: construcao de uma via de acesso a Matodista;SAO BERNARDO DO CAMPO;;ABC;Denuncia via parceiros do Observatorio de Remocoes - Rede Contra Remocoes ABC;NAO;OBRAS PUBLICAS;Via de acesso;TERRENO VAZIO;PUBLICA;CDHU;;;;;;Rua Cabral da Camara, 42;-23.7066;-46.57202;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://g1.globo.com/sao-paulo/noticia/pm-faz-operacoes-de-reintegracao-de-posse-em-terrenos-no-abc-e-na-zona-leste-de-sp.ghtml"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
CRUZ DO ESPIRITO SANTO;25/07/2017;REMOCAO TOTAL;Imagens feitas pelo Globocop mostram que policiais ja estao na area e que a saida dos moradores acontecia de forma pacifica. O terreno tem cerca de 40 barracos.;SAO PAULO;LAJEADO;LESTE 2;Clipping;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;PREFEITURA;;40;FLM;;;Rua Cruz do Espirito Santo;-23.534759; -46.409506;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;""> <a href=""https://g1.globo.com/sao-paulo/noticia/pm-faz-operacoes-de-reintegracao-de-posse-em-terrenos-no-abc-e-na-zona-Leste-de-sp.ghtml"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
RUA CABRAL DA CAMARA;25/07/2017;REMOCAO TOTAL;Em janeiro de 2016, mesmo com vitoria na Justica, a Prefeitura, sob a gestao do ex-prefeito Luiz Marinho, havia regularizado o terreno e as moradias. No entanto, para a surpresa dos moradores, o atual prefeito, Orlando Morando, decidiu retomar a area e demolir as casas no terreno.;SAO BERNARDO DO CAMPO;;ABC;Clipping;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;PREFEITURA;;21;;;;Rua Cabral da Camara;-23.7038359;-46.571986100000000;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;""> <a href=""https://g1.globo.com/sao-paulo/noticia/pm-faz-operacoes-de-reintegracao-de-posse-em-terrenos-no-abc-e-na-zona-Leste-de-sp.ghtml"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
RUA DIAS DE COSTA;20/07/2017;REMOCAO TOTAL;Ocupacao em um terreno particular inserido em area delimitada como ZEIS-1 dentro do loteamento irregular Vila Bela. Em setembro de 2019 parece estar sendo reocupada;SAO PAULO;SAO RAFAEL;LESTE 2;Clipping;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PRIVADA;;;20;;;;Rua Dias de Costa, 168;-23.618512;-46.457678;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;""> <a href=""https://noticias.r7.com/sao-paulo/policia-militar-acompanha-reintegracao-de-posse-na-zona-Leste-de-sao-paulo-20072017"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
LUISA SARAZIM;19/07/2017;REMOCAO TOTAL;Ocupada em 2016, a GCM demoliu as casas de 18 familias do terreno, onde sera construido um Centro de Educacao Infantil (CEI). Fotos areas de satelite do dia 17/04/2018 revelam que aparentemente o terreno foi reocupado.;SAO PAULO;IGUATEMI;LESTE 2;Clipping;NAO;OBRAS PUBLICAS;;TERRENO VAZIO;PUBLICA;PREFEITURA;;18;;;;Rua Luisa Sarazim, 25;-23.604739;-46.436539;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""http://www.prefeitura.sp.gov.br/cidade/secretarias/regionais/sao_mateus/noticias/?p=74306"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
RUA CUREMA;07/07/2017;REMOCAO TOTAL;A Secretaria Municipal de Habitacao informa que o terreno pertence ao Movimento dos Trabalhadores Leste 1, dedicado a moradia, e que o pedido de reintegracao de posse foi feito por ele. Em nota, a entidade repudia a ocupacao recente. Em setembro/2019 parece estar sendo reocupado.;SAO PAULO;CANGAIBA;LESTE 1;Clipping;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PRIVADA;;;20;;;;Rua Curema, 611;-23.5061791;-46.54214000000000;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;""> <a href=""https://g1.globo.com/sao-paulo/noticia/protesto-paralisa-linha-da-cptm-em-sao-paulo.ghtml"" target=""_blank"" style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
PREDIO BARRA DO TIBAJI, 175;03/07/2017;REMOCAO TOTAL;Caso de remocao acompanhado pelo Nucleo de mediacao de conflitos da Secretaria Municipal de Habitacao - Sao Paulo;SAO PAULO;BOM RETIRO;CENTRO;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;;48;;ZDE-1;2017;Rua Barra do Tibaji, 175, Se, Sao Paulo, SP, Brasil;-23.5223277;-46.6401381;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=2S000P41K0000&processo.foro=100&uuidCaptcha=sajcaptcha_4a634ffdc5294b8fae5b4f9f0cb9fb57"" target=_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a> ";;;;;;;;;;;;;
VILA SONIA;23/06/2017;REMOCAO TOTAL;A ocupacao estava ha 4 anos em area de protecao permanente (APP), que sera recuperada e tambem recebera futuramente obras de Parque Linear do Estado Varzeas do Tiete;ITAQUAQUECETUBA;;RMSP;Clipping;NAO;AREA DE PROTECAO AMBIENTAL;;TERRENO VAZIO;PUBLICA;PREFEITURA;;160;;;;Estr. Valter da Silva Costa, 1312;-23.478393; -46.368745;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""http://www.portalnews.com.br/_conteudo/2017/06/cidades/58938-160-familias-podem-ficar-desabrigadas-em-itaqua.html"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
RUA BRIGADEIRO GAVIAO PEIXOTO;19/06/2017;REMOCAO TOTAL;Caso de remocao acompanhado pelo Nucleo de mediacao de conflitos da Secretaria Municipal de Habitacao - Sao Paulo;SAO PAULO;LAPA;OESTE;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;;PRIVADA;;;10;FLM;ZCOR-1;2017;Rua Brigadeiro Gaviao Peixoto, 16, Lapa, Sao Paulo, SP, Brasil;-23.525217;-46.711876;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=040014P3P0000&processo.foro=4&uuidCaptcha=sajcaptcha_4a634ffdc5294b8fae5b4f9f0cb9fb57"" target=_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a> ";;;;;;;;;;;;;
ANA AISLAM;06/06/2017;REMOCAO TOTAL;Caso de remocao acompanhado pelo Nucleo de mediacao de conflitos da Secretaria Municipal de Habitacao - Sao Paulo;SAO PAULO;CAPAO REDONDO;SUL 2;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;;PUBLICA;CDHU;;800;FLM;;;Rua Ana Aislam, Sao Paulo, SP, Brasil;-23.6591398;-46.7857873;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;""> <a href=""https://sao-paulo.estadao.com.br/noticias/geral,familias-desocupam-area-da-cdhu-na-zona-sul-de-sao-paulo,70001827948"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
OCUPACAO PARQUE DO ENGENHO;06/06/2017;REMOCAO TOTAL;Reintegracao de posse de uma ocupacao num terreno da CDHU no Capao Redondo, com cerca de 50 familias.;SAO PAULO;CAPAO REDONDO;SUL 2;Clipping;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;GOVERNO DO ESTADO;;50;FLM;;;Rua Ana Aslan - Jardim Amalia, Sao Paulo - State of Sao Paulo, Brazil;-23.6591376;-46.78580499999990;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;""> <a href=""http://sao-paulo.estadao.com.br/noticias/geral,familias-desocupam-area-da-cdhu-na-zona-sul-de-sao-paulo,70001827948"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a> ";;;;;;;;;;;;;
MAR DESCONHECIDO;30/05/2017;REMOCAO TOTAL;Caso de remocao acompanhado pelo Nucleo de mediacao de conflitos da Secretaria Municipal de Habitacao - Sao Paulo;SAO PAULO;CIDADE ADEMAR;SUL 2;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;;PUBLICA;;;29;;;;Rua Mar Desconhecido, Cidade Ademar, Sao Paulo, SP, Brasil;-23.6855668;-46.64341099999999;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=1HZX2E3950000&processo.foro=53&uuidCaptcha=sajcaptcha_4a634ffdc5294b8fae5b4f9f0cb9fb57"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
OCUPACAO ARISTOCRATA;18/05/2017;REMOCAO TOTAL;A ocupacao do Aristocrata (tambem conhecida por Unidos para Vencer) e formada por moradores que, sufocados pela especulacao imobiliaria que vem dos centros as periferias, ocuparam o terreno em julho de 2013. Logo apos o inicio do mandato de Joao Doria, a ocupacao recebeu o pedido de reintegracao de posse da Subprefeitura Capela do Socorro para o dia 9 de fevereiro de 2017. Na ocasiao, os moradores resistiram e conseguiram fechar um acordo de mais 60 dias de negociacao com a Secretaria de Habitacao de Sao Paulo. Quinze dias antes do prazo, os tratores de demolicao da prefeitura passaram por la para dar as caras.  Ate o momento cerca de 140 familias deixaram o local pacificamente;SAO PAULO;GRAJAU;SUL 2;Clipping;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;PREFEITURA;;140;Associacao Ocupacao Aristocrata;;;Avenida Belmira Marin, 144 - Grajau;-23.7431126;-46.6917326;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;""> <a href=""https://www.brasildefato.com.br/2017/05/12/pelo-direito-a-moradia-ocupacao-aristocrata-se-expande-e-resiste/"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
RUA DO HIPODROMO;25/04/2017;REMOCAO TOTAL;Caso de remocao mapeado (sem atuacao) pelo Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao de Sao Paulo;SAO PAULO;MOOCA;LESTE 1;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PRIVADA;;;10;;ZEIS-3;2016;Rua do Hipodromo, 1221, Mooca, Sao Paulo, SP, Brasil;-23.54930719999999;-46.60545659999999;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=2S000NLM30000&processo.foro=100&uuidCaptcha=sajcaptcha_4a634ffdc5294b8fae5b4f9f0cb9fb57"" target=_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a> ";;;;;;;;;;;;;
NOSSA SENHORA APARECIDA;24/04/2017;REMOCAO TOTAL;O empreendimento Nossa Senhora Aparecida consiste em 180 apartamentos a serem finalizados no primeiro semestre de 2018, que acabou sendo inicialmente construido em regime de mutirao por uma associacao de moradores da UMM Zona Sul e foi ocupado por um grupo sem cadastro antes da retomada e finalizacao das obras para a mudanca oficial.  A Sehab, a COHAB e a Caixa Economica Federal firmaram um termo de cooperacao com a Uniao dos Movimentos de Moradia da Zona Sul de Sao Paulo em setembro de 2017, para dar continuidade as obras, que estavam paralisadas ha 3 anos.;SAO PAULO;CAPAO REDONDO;SUL 2;Clipping;NAO;REINTEGRACAO DE POSSE;;EDIFICACAO;PUBLICA;PREFEITURA;;87;;;;Estrada de Itapecerica, 531;-23.661715;-46.778972;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://g1.globo.com/sao-paulo/noticia/guarda-civil-controla-entrada-e-saida-de-condominio-invadido-no-capao-redondo.ghtml"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
CHAFARIZ DE PEDRA;13/04/2017;REMOCAO TOTAL;Caso de remocao acompanhado pelo Nucleo de mediacao de conflitos da Secretaria Municipal de Habitacao - Sao Paulo;SAO PAULO;IGUATEMI;LESTE 2;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;COHAB;;43;MTST;ZMa;2016;Rua Chafariz de Pedra, 25, Sao Mateus , Sao Paulo, SP, Brasil;-23.6037012;-46.4543711;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=070018F9Y0000&processo.foro=7&uuidCaptcha=sajcaptcha_4a634ffdc5294b8fae5b4f9f0cb9fb57"" target=_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>
<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://www.prefeitura.sp.gov.br/cidade/secretarias/subprefeituras/sao_mateus/noticias/?p=71312"" target=_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
IRINEU SALVADOR PINTO;09/03/2017;REMOCAO TOTAL;Caso de remocao acompanhado pelo Nucleo de mediacao de conflitos da Secretaria Municipal de Habitacao - Sao Paulo;SAO PAULO;RIO PEQUENO;OESTE;Dados oficiais - Nucleo de Mediacao de Conflitos da Secretaria Municipal de Habitacao - Sao Paulo;NAO;REINTEGRACAO DE POSSE;;;PUBLICA;;;44;ASSOCIACAO PRO MORADIA DO BUTANTA;ZEIS-2;2016;Rua Irineu Salvador Pinto, Butanta, Sao Paulo, SP, Brasil;-23.579726;-46.7623846;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=1H0004QKK0000&processo.foro=53&uuidCaptcha=sajcaptcha_4a634ffdc5294b8fae5b4f9f0cb9fb57"" target=_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a> ";;;;;;;;;;;;;
OCUPACAO BAIRRO 13 / COLONIAL;17/01/2017;REMOCAO TOTAL;Comunidade foi removida no incio de 2017 pela gestao municipal, com forte aparato policial.;SAO PAULO;SAO MATEUS;LESTE 2;Clipping;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PRIVADA;;;700;MTST;;;R. Andre de Almeida, 291 - Cidade Sao Mateus, Sao Paulo - SP, Brazil;-23.59607740210020;-46.474932349182100;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;""> <a href=""http://justificando.cartacapital.com.br/2017/01/17/tjsp-negou-negociacao-para-reintegracao-que-terminou-com-truculencia-e-prisao-de-boulos/"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
JAHU CANGAIBA;;REMOCAO TOTAL;Favela citada no Habitasampa - Plano Municipal de Habitacao 2012 (Plano de Acao Leste - Previsao de Intervencao nos perimetros de acao integrada entre 2009 e 2014);SAO PAULO;PENHA;LESTE 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;;;PUBLICA;PREFEITURA;;150;;ZEIS-1 | ZEPAM | ZEUP;;;-23.515103°;-46.545709°;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""http://his.dados.habitasampa.inf.br/vw_favela_compllist.php?cmd=search&t=vw_favela_compl&psearch=Jahu+Canga%C3%ADba&psearchtype="" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>
<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://www.prefeitura.sp.gov.br/cidade/secretarias/habitacao/noticias/?p=190330"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
ALPHONSE JOAILLIER;;REMOCAO TOTAL;Favela listada no banco de dados do Habitasampa e classificada como area de risco nivel 3 e/ou 4.;SAO PAULO;CIDADE TIRADENTES;LESTE 2;Dados oficiais – Habitasampa;NAO;AREA DE RISCO;Deslizamento / Solapamento;TERRENO VAZIO;PRIVADA;;;10;;ZEIS-1;1994;Rua Alphonse Joaillier / Avenida Inacio Monteiro;-23.5876149577438;-46.3800456392354;;;;;;;;;;;;;;
ESTRADA DO CARNEIRO;;AMEACA DE REMOCAO;;MAUA;;ABC;Denuncia dia parceiros do Observatorio de Remocoes - Rede Contra Remocoes Maua;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;;;200;;;;;;-23.668009;-46.421964;;;;;;;;;;;;;;
VILA CARLINA;;AMEACA DE REMOCAO;Regiao de aterro sanitario e habitacoes precarias.;MAUA;;ABC;Denuncia dia parceiros do Observatorio de Remocoes - Rede Contra Remocoes Maua;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;;;200;;;;;;-23.701354;-46.486151;;;;;;;;;;;;;;
CHAFIK;;AMEACA DE REMOCAO;O Paco de Maua lancou edital para contratar projeto de remocao de familias da area do Chafic e Macuco, situada no Jardim Zaira, que tem valor estipulado em R$ 781 mil. Esse e o primeiro passo para iniciar os trabalhos de urbanizacao do local, que tem o aporte de R$ 79 milhoes do PAC (Programa de Aceleracao do Crescimento) no governo federal.;MAUA;;ABC;Denuncia dia parceiros do Observatorio de Remocoes - Rede Contra Remocoes Maua;NAO;URBANIZACAO DE FAVELAS;;TERRENO VAZIO;;;500;;;;;;-23.646168;-46.438603;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://www.dgabc.com.br/Noticia/1340075/maua-licita-plano-de-remocao-na-area-do-chafic-e-macuco"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
JD. SILVIA;;AMEACA DE REMOCAO;Regiao de muita disputa e conflitos entre o trafico e a policia.;MAUA;;ABC;Denuncia dia parceiros do Observatorio de Remocoes - Rede Contra Remocoes Maua;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;;;100;;;;;;-23.67795;-46.429798;;;;;;;;;;;;;;
OCUPACAO SAO JOAO;;AMEACA DE REMOCAO;A area pertence a CDHU e desde 2010 foi assinado acordo para construcao de unidade habitacional para os moradores da area. Ate hoje nada foi cumprido e desde 2018 estao pedindo a area na justica;SAO PAULO;TREMEMBE;NORTE 1;Denuncia via parceiros do Observatorio de Remocoes;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;CDHU;200;;Associacao Sao Joao;;2010;Rua Barao Carlos de Souza Anhumas;-23.435970;-46.582891;;;;;;;;;;;;;;
VIADUTO ALCANTARA MACHADO;;AMEACA DE REMOCAO;250 familias estao ameacadas de remocao pela prefeitura em area localizada abaixo do viaduto na regiao da Mooca. As familias pedem auxilio aluguel mas a municipalidade ainda nao deu uma resposta sobre atendimento habitacional. Na area e servida refeicao para aproximadamente 120 pessoas por dia e estima-se que ate 400 pessoas utilizam a estrutura diamente;SAO PAULO;MOOCA;LESTE 1;Clipping;SIM;REINTEGRACAO DE POSSE;;TERRENO VAZIO;PUBLICA;PREFEITURA;250;;;;;Viaduto Alcantara Machado;-23.553174;-46.613324;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://spbancarios.com.br/01/2020/ocupacao-na-zona-leste-de-sao-paulo-se-organiza-para-resistir-reintegracao-de-posse"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
CEMITERIO DOS JESUITAS;;AMEACA DE REMOCAO;Ameaca de remocao em area proxima ao Cemiterio dos Jesuitas, na divisa de Embu das Artes e Taboao da Serra. Ha pouca informacao sobre a ocupacao e o pouco que aparece so foi noticiado devido a um protexto realizado na regiao;TABOAO DA SERRA;;;Clipping;NAO;REINTEGRACAO DE POSSE;;TERRENO VAZIO;;;;;;;;Rua Pereque;-23.643901;-46.808860;"<p style=""font-size: 13px; font-weight: normal; margin: 5px; color: #4A4A4A;"">     <a href=""https://taboaoemfoco.com.br/reintegracao-de-posse-em-terreno-na-divisa-embu-e-taboao-provoca-confusao-na-regiao/"" target=""_blank""style=""font-weight: bold; color: #1CAAD9;"">Clique aqui para ler mais</a>";;;;;;;;;;;;;
